City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,San pedro,PH,81.63,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
499,Chirongui,YT,82.33,scattered clouds,-12.9319,45.1483,La Villa Mahatsara
501,Los banos,PH,81.09,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
503,Rodrigues alves,BR,84.4,moderate rain,-7.738,-72.6509,Pousada Aconchego
510,Maragogi,BR,83.71,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
517,Yenagoa,NG,79.77,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
533,Fare,PF,79.03,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
534,Alugan,PH,80.4,moderate rain,12.2188,125.4808,JM Lodge
535,Cap malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
537,Villamontes,BO,78.53,moderate rain,-21.25,-63.5,Hotel Raldes
538,San nicolas,PH,78.06,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
539,Kano,NG,88.75,clear sky,12.0001,8.5167,Havana Guest Inn
542,Iracoubo,GF,82.31,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
543,Hervey bay,AU,79.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
546,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
548,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
553,Puerto colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
555,Cockburn town,TC,81.39,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
557,Alyangula,AU,84.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
560,San ciro de acosta,MX,75.97,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
561,Almenara,BR,77.85,overcast clouds,-16.1836,-40.6944,Pousada Estância
562,Bandiagara,ML,89.04,clear sky,14.3501,-3.6104,Hotel de la Falaise
563,Karratha,AU,78.39,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
565,Tamandare,BR,83.26,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
566,Birao,CF,85.96,scattered clouds,10.2849,22.7882,
567,Pochutla,MX,87.62,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
568,Riberalta,BO,89.04,overcast clouds,-10.9833,-66.1,Hotel Colonial
575,Altamira,BR,89.69,light rain,-3.2033,-52.2064,Requinte Hotel
578,Porbandar,IN,79.5,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
579,Bahia blanca,AR,79.36,broken clouds,-38.7196,-62.2724,Hotel Argos
582,Jalpan,MX,76.32,broken clouds,21.2333,-99.4833,Hotel Mision Jalpan
584,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
585,Yarada,IN,80.92,haze,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
586,Iquitos,PE,86.04,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
592,Bubaque,GW,83.77,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
594,Vung tau,VN,80.04,light rain,10.346,107.0843,Green hotel
596,Brandon,US,81.25,broken clouds,27.9378,-82.2859,Brandon Motor Lodge
602,Lagunillas,VE,86.76,overcast clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
603,Jega,NG,87.24,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
604,Wawa,NG,86.52,scattered clouds,9.9022,4.4192,
605,Corn island,NI,81.27,light rain,12.1694,-83.0418,Big Fish Guest House
607,Ambilobe,MG,78.64,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
608,Wamba,NG,81.95,clear sky,8.9333,8.6,Roma Zee Guest House Annex
623,San felipe,VE,88.99,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
634,Paciran,ID,80.11,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
642,Ca mau,VN,76.08,light rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
643,Opelousas,US,75.9,scattered clouds,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
644,Mogadishu,SO,79.81,clear sky,2.0371,45.3438,Hotel Juba
645,Kontagora,NG,86.94,scattered clouds,10.3999,5.4695,Queens Guest Inn
646,Viedma,AR,83.66,broken clouds,-40.8135,-62.9967,Hotel Cristal
648,Maryborough,AU,77.11,light rain,-25.5333,152.7,Blue Shades Motel
650,Spring hill,US,80.82,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
653,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
654,Ndele,CF,79.18,scattered clouds,8.4109,20.6473,
656,Palauig,PH,80.47,overcast clouds,15.435,119.9045,Alperi Botique Resort
661,Sarangani,PH,82.71,light rain,5.4033,125.4636,Ballistic Islet
675,Capela,BR,82.33,broken clouds,-10.5033,-37.0528,Pousada Luciano
676,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
677,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
678,Alta floresta,BR,75.02,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
683,Sao felix do xingu,BR,79.95,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
687,Guane,CU,82.98,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
688,Curuca,BR,83.41,overcast clouds,-0.7289,-47.8481,Hotel Curuça
