City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Acapulco,MX,16.8634,-99.8901,84.02,74,75,5.75,broken clouds
227,Takoradi,GH,4.8845,-1.7554,80.55,80,99,9.6,overcast clouds
228,Nikolayevsk-na-amure,RU,53.1406,140.73,40.62,98,100,8.5,light rain
229,Port elizabeth,ZA,-33.918,25.5701,64.09,77,0,9.22,clear sky
230,Nakusp,CA,50.2499,-117.8023,39.54,93,91,2.3,overcast clouds
231,Grand gaube,MU,-20.0064,57.6608,75.6,72,7,4.0,clear sky
232,Laguna,US,38.421,-121.4238,61.09,96,90,1.01,fog
233,San policarpo,PH,12.1791,125.5072,80.96,86,100,11.95,moderate rain
234,Lavrentiya,RU,65.5833,-171.0,8.51,92,7,6.69,clear sky
235,Tura,IN,25.5198,90.2201,63.48,88,12,3.58,few clouds
236,Nichinan,JP,31.6,131.3667,57.47,76,44,13.53,scattered clouds
237,Galesong,ID,-5.3166,119.3661,75.22,84,98,2.77,moderate rain
238,Bluff,NZ,-46.6,168.3333,55.0,88,86,8.48,overcast clouds
239,Siguiri,GN,11.6667,-9.5,92.62,31,99,1.7,overcast clouds
240,Hailar,CN,49.2,119.7,25.2,54,8,16.55,clear sky
241,Sola,VU,-13.8833,167.55,81.09,79,22,14.92,few clouds
242,Ahipara,NZ,-35.1667,173.1667,56.75,93,18,4.65,few clouds
243,Kaniama,CD,-7.5667,24.1833,67.28,87,99,3.74,light rain
244,Ketchikan,US,55.3422,-131.6461,37.87,93,90,0.0,overcast clouds
245,Mount isa,AU,-20.7333,139.5,73.17,100,90,10.36,moderate rain
246,Birjand,IR,32.8663,59.2211,37.87,23,0,6.91,clear sky
247,Cervo,ES,43.6702,-7.4101,56.97,79,81,9.01,broken clouds
248,Batagay-alyta,RU,67.8006,130.4114,6.78,89,100,2.1,overcast clouds
249,Belaya gora,RU,68.5333,146.4167,-5.66,85,99,5.55,overcast clouds
250,Oriximina,BR,-1.7656,-55.8661,80.11,75,96,2.35,overcast clouds
251,Geraldton,AU,-28.7667,114.6,55.81,76,0,10.36,clear sky
252,Benjamin constant,BR,-4.3831,-70.0311,86.13,78,75,1.14,light rain
253,Mudu,CN,31.252,120.5118,48.97,52,0,10.54,clear sky
254,Provideniya,RU,64.3833,-173.3,13.68,75,2,4.36,clear sky
255,Dubrovnik,HR,42.6481,18.0922,64.04,77,0,5.75,clear sky
256,Bayamo,CU,20.3792,-76.6433,77.52,77,88,10.25,light rain
257,Kiama,AU,-34.6833,150.8667,65.37,94,100,14.58,overcast clouds
258,Novo aripuana,BR,-5.1206,-60.3797,87.49,62,88,1.54,light rain
259,Matagami,CA,49.7502,-77.6328,35.71,80,90,11.5,overcast clouds
