City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,butaritari,KI,2021-11-08 18:28:57,3.0707,172.7902,81.75,71,5,14.85
69,lagoa,PT,2021-11-08 18:28:58,39.05,-27.9833,62.62,91,100,3.58
70,sur,OM,2021-11-08 18:28:58,22.5667,59.5289,77.41,55,0,4.32
71,vila do maio,CV,2021-11-08 18:28:58,15.1333,-23.2167,79.59,73,96,13.13
72,vestmannaeyjar,IS,2021-11-08 18:28:58,63.4427,-20.2734,45.59,81,90,27.63
73,bethel,US,2021-11-08 18:28:59,41.3712,-73.414,65.71,51,0,1.01
74,bluff,NZ,2021-11-08 18:28:59,-46.6,168.3333,54.36,84,98,3.49
75,nanortalik,GL,2021-11-08 18:28:59,60.1432,-45.2371,26.67,78,49,15.52
76,arraial do cabo,BR,2021-11-08 18:29:00,-22.9661,-42.0278,76.96,73,75,9.22
77,mitu,CO,2021-11-08 18:29:00,1.1983,-70.1733,84.97,72,93,4.41
78,hilo,US,2021-11-08 18:29:00,19.7297,-155.09,76.8,76,20,5.75
79,hobart,AU,2021-11-08 18:27:34,-42.8794,147.3294,49.86,85,90,1.14
80,haines junction,CA,2021-11-08 18:29:00,60.7522,-137.5108,1.35,85,33,2.3
81,bambous virieux,MU,2021-11-08 18:29:01,-20.3428,57.7575,77.25,83,75,8.05
82,lebedinyy,RU,2021-11-08 18:29:02,58.5167,125.5167,12.04,90,96,12.86
83,hasaki,JP,2021-11-08 18:29:02,35.7333,140.8333,59.4,68,99,17.52
84,villazon,BO,2021-11-08 18:29:03,-22.0866,-65.5942,70.7,11,12,10.94
85,matara,LK,2021-11-08 18:29:03,5.9485,80.5353,74.7,91,100,12.53
86,fort frances,CA,2021-11-08 18:28:19,48.5999,-93.4003,49.15,53,1,4.0
87,ilulissat,GL,2021-11-08 18:29:04,69.2167,-51.1,-8.32,77,0,6.2
88,nanakuli,US,2021-11-08 18:29:04,21.3906,-158.1547,79.7,73,90,5.75
89,punta arenas,CL,2021-11-08 18:24:15,-53.15,-70.9167,55.51,44,40,26.46
90,washington,US,2021-11-08 18:26:08,47.5001,-120.5015,40.95,78,93,3.47
91,atuona,PF,2021-11-08 18:29:04,-9.8,-139.0333,77.41,79,17,19.42
92,cachoeiras de macacu,BR,2021-11-08 18:31:15,-22.4625,-42.6531,76.48,90,100,2.46
93,aksarka,RU,2021-11-08 18:31:15,66.5606,67.7975,10.27,89,17,9.22
94,rio esteban,HN,2021-11-08 18:31:15,15.8333,-86.3,82.0,83,99,6.26
95,mao,ES,2021-11-08 18:31:16,39.8885,4.2658,59.56,67,75,24.16
96,upernavik,GL,2021-11-08 18:31:16,72.7868,-56.1549,7.03,72,1,6.04
97,shingu,JP,2021-11-08 18:31:16,33.7333,135.9833,67.8,91,100,15.08
98,isangel,VU,2021-11-08 18:31:17,-19.55,169.2667,74.8,85,29,4.79
99,ponta do sol,PT,2021-11-08 18:31:17,32.6667,-17.1,68.72,69,2,4.68
100,salalah,OM,2021-11-08 18:31:17,17.0151,54.0924,78.89,69,0,4.61
101,ancud,CL,2021-11-08 18:31:17,-41.8697,-73.8203,65.43,68,8,7.81
